0.051793,0.00036532,5.0896e-006
0.054383,0.00032913,4.3059e-006
0.057102,0.00029783,3.6908e-006
0.059957,0.00025454,3.0925e-006
0.062955,0.00023414,2.7421e-006
0.066103,0.00020047,2.3205e-006
0.069408,0.0001806,2.092e-006
0.072878,0.00015212,1.8105e-006
0.076522,0.00013051,1.5735e-006
0.080348,0.00010875,1.3865e-006
0.084365,9.6583e-005,1.2391e-006
0.088584,8.0304e-005,1.0616e-006
0.093013,6.6783e-005,9.2214e-007
0.097664,5.7231e-005,8.1772e-007
0.10255,4.6846e-005,7.1056e-007
0.10767,3.9339e-005,6.287e-007
0.11306,3.406e-005,5.7194e-007
0.11871,2.6212e-005,4.9666e-007
0.12465,2.139e-005,4.3225e-007
0.13088,1.7541e-005,3.8831e-007
0.13742,1.3259e-005,3.5018e-007
0.14429,1.0765e-005,3.2239e-007
0.15151,8.798e-006,3.0451e-007
0.15908,6.8957e-006,2.8754e-007
0.16704,5.0697e-006,2.701e-007
0.17539,3.9634e-006,2.532e-007
0.18416,2.7432e-006,2.2153e-007
0.19337,2.6351e-006,2.2992e-007
0.20304,1.7204e-006,5.691e-007
0.21319,1.6927e-006,1.264e-007
0.22385,1.7735e-006,1.999e-007
0.23504,1.5936e-006,3.884e-007
0.24679,1.6491e-006,5.944e-007
0.25913,1.7377e-006,5.71e-007
0.27209,1.3557e-006,2.156e-007
0.28569,1.6025e-006,3.599e-007
0.29998,1.6927e-006,8.9822e-007
0.31497,1.5824e-006,3.145e-007
0.33072,1.612e-006,4.17e-007
0.34726,1.4239e-006,4.5458e-007
0.36462,1.6765e-006,4.73e-007
0.38285,1.5393e-006,3.478e-007
0.402,1.2267e-006,4.5143e-007
0.4221,1.4043e-006,2.498e-007
0.4432,1.323e-006,1.931e-007
0.46536,1.3855e-006,4.334e-007
0.48863,1.2574e-006,1.404e-007
0.51306,1.4484e-006,6.1262e-007
0.53871,1.6406e-006,6.9825e-007
0.56565,1.6596e-006,4.565e-007
0.58877,1.1157e-006,1.152e-007
