        0.48866E-01        0.75327E-04        0.69503E-06
        0.51309E-01        0.67440E-04        0.59790E-06
        0.53874E-01        0.60483E-04        0.51642E-06
        0.56568E-01        0.53828E-04        0.44529E-06
        0.59397E-01        0.48306E-04        0.38734E-06
        0.62366E-01        0.43157E-04        0.34233E-06
        0.65485E-01        0.39019E-04        0.30258E-06
        0.68759E-01        0.34213E-04        0.26508E-06
        0.72197E-01        0.30240E-04        0.24228E-06
        0.75807E-01        0.26762E-04        0.21818E-06
        0.79597E-01        0.23305E-04        0.19660E-06
        0.83577E-01        0.19964E-04        0.17682E-06
        0.87756E-01        0.17309E-04        0.15652E-06
        0.92143E-01        0.15092E-04        0.13983E-06
        0.96751E-01        0.13193E-04        0.12562E-06
        0.10159            0.11461E-04        0.11303E-06
        0.10667            0.97219E-05        0.10095E-06
        0.11200            0.84211E-05        0.91938E-07
        0.11760            0.70424E-05        0.84181E-07
        0.12348            0.62499E-05        0.76325E-07
        0.12966            0.52285E-05        0.68967E-07
        0.13614            0.43992E-05        0.64763E-07
        0.14294            0.37216E-05        0.60753E-07
        0.15009            0.30403E-05        0.57628E-07
        0.15760            0.25752E-05        0.57781E-07
        0.16548            0.20320E-05        0.54493E-07
        0.17375            0.16756E-05        0.52706E-07
        0.18244            0.14089E-05        0.53051E-07
        0.19156            0.11089E-05        0.49088E-07
        0.20114            0.88007E-06        0.44310E-07
        0.21119            0.65302E-06        0.40681E-07
        0.22175            0.58976E-06        0.38965E-07
        0.23284            0.53917E-06        0.38188E-07
        0.24448            0.42797E-06        0.35655E-07
        0.25671            0.41161E-06        0.34644E-07
        0.26954            0.37461E-06        0.33141E-07
        0.28302            0.33805E-06        0.31407E-07
        0.29717            0.33735E-06        0.31674E-07
        0.31203            0.29671E-06        0.29172E-07
        0.32763            0.30508E-06        0.29452E-07
        0.34401            0.33433E-06        0.30116E-07
        0.36121            0.29958E-06        0.28741E-07
        0.37927            0.33635E-06        0.29455E-07
        0.39824            0.30815E-06        0.27624E-07
        0.41815            0.30601E-06        0.27427E-07
        0.43906            0.30896E-06        0.27575E-07
        0.46101            0.28072E-06        0.25966E-07
        0.48406            0.32697E-06        0.28400E-07
        0.50826            0.33021E-06        0.28374E-07
        0.53368            0.33285E-06        0.28792E-07
        0.56036            0.31159E-06        0.28553E-07
        0.58838            0.34938E-06        0.35268E-07
        0.60539            0.39662E-06        0.11146E-06
